iteration,energy
0,0.44029197
1,0.61776752
2,0.65737474
3,2.27542023
4,2.30347742
5,2.29067517
6,2.29067517
7,2.06672653
8,2.14151435
9,2.76099244
10,2.74512473
11,2.86995616
12,1.90118388
13,1.71110129
14,1.65605854
15,1.49399050
16,1.44084449
17,1.44084449
18,1.44084449
19,2.32017691
20,1.81982684
21,1.81982684
22,1.86381995
23,1.69150788
24,1.65587813
25,1.27054778
26,1.31890059
27,1.36372480
28,0.99684095
29,0.91697367
30,0.90039812
31,0.97500546
32,1.13877048
33,1.19009357
34,1.39112798
35,1.07094244
36,1.02043790
37,1.02043790
38,1.17496018
39,0.96487936
40,1.00784592
41,1.00784592
42,1.00784592
43,0.93645268
44,1.55213536
45,1.55213536
46,2.15829551
47,2.15829551
48,2.15829551
49,2.10964296
50,2.64498688
51,2.36350693
52,2.30689608
53,2.16710331
54,2.49623537
55,2.64113462
56,2.64113462
57,2.64113462
58,2.64113462
59,2.61274592
60,2.52679455
61,2.53868613
62,2.48926805
63,2.48926805
64,2.48926805
65,2.59335907
66,2.61614017
67,2.36846515
68,2.54823750
69,3.30181300
70,4.03079478
71,3.13701723
72,3.03791070
73,2.52833748
74,2.72808857
75,2.74845725
76,2.86210721
77,2.23555261
78,2.40044629
79,1.23168145
80,1.20771427
81,1.79941548
82,1.87391618
83,2.51722658
84,2.51722658
85,1.97744555
86,1.99313600
87,2.00766402
88,1.86662766
89,1.54684280
90,1.53007095
91,1.53007095
92,1.53007095
93,1.52825139
94,1.52825139
95,1.50554847
96,1.50554847
97,1.50554847
98,1.89427118
99,1.89427118
100,1.89286907
101,2.37966420
102,2.37966420
103,2.37966420
104,2.19914099
105,2.19914099
106,2.19933958
107,2.43118812
108,1.81731251
109,1.59433677
110,1.59433677
111,1.59433677
112,1.61303017
113,1.63818809
114,1.63818809
115,1.07854038
116,1.12353073
117,1.12353073
118,1.23844129
119,1.49173258
120,2.45100512
121,2.04793402
122,2.04793402
123,2.04793402
124,1.99045973
125,2.05065560
126,2.05065560
127,1.94230590
128,1.94230590
129,1.74171591
130,1.74171591
131,1.76792399
132,1.76792399
133,1.87231259
134,1.57339784
135,0.69390624
136,0.51878334
137,0.62247017
138,0.31984151
139,0.38520668
140,0.78206345
141,0.97664582
142,1.83911496
143,2.17985211
144,2.42267305
145,2.79696488
146,2.29931557
147,1.48039926
148,1.43469480
149,1.43469480
150,0.69762191
151,0.83477037
152,0.83477037
153,0.57153571
154,0.57153571
155,0.47841041
156,0.50919087
157,0.52382971
